record - object_number,record - Title - title,record - Production - creator - name,record - Production - creator - birth.date.start,record - Production - creator - death.date.start,record - Dimension - dimension.unit - term,record - Dimension - dimension.type - term,record - Dimension - dimension.value,record - Material - material - term,record - institution.name - name,record - Object_name - object_name - term,record - Production - creator.date_of_birth,record - production.period - linkreffield,record - production.period - term,record - Production_date - production.date.start,record - Production_date - production.date.end,IRL,Rights
MID.B.472,"Zonder titel, Antwerpen Middelheim 1993",Per Kirkeby,1938-09-01,,cm,hoogte,500,rock (inorganic material),Middelheimmuseum (Antwerpen),architecturale sculptuur,1938-09-01,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_472,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,1500,gesteente (materiaal),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,900,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.473,Die Furcht verlässt ihren Gegenstand und geht über in Hass,Harald Klingelhöller,1954,,cm,hoogte,170,basalt,Middelheimmuseum (Antwerpen),environment,1954,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_473,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,130,basalt,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,110,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.099,Sitzende Frau,Willy Kreitz,1903-09-21,1982-07-03,cm,hoogte,152,granite,Middelheimmuseum (Antwerpen),rondsculptuur,1903-09-21,production.period.lref,20ste eeuw (derde kwart),1955,1955,http://middelheimmuseum.be/collection/work/id/MID_B_099,https://creativecommons.org/publicdomain/zero/1.0/
,Sitting woman,,,,cm,breedte,80,graniet,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Femme assise,,,,cm,diepte,104,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Zittende vrouw,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.448,Steinbuch,Wolfgang Kubach,,,cm,hoogte,60,marble,Middelheimmuseum (Antwerpen),sculpture,,production.period.lref,20ste eeuw (vierde kwart),1980,1980,http://middelheimmuseum.be/collection/work/id/MID_B_448,https://creativecommons.org/publicdomain/zero/1.0/
,Book of stone,Anna-Maria Kubach-Wilmsen,,,cm,breedte,160,marmer,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Livre de pierre,,,,cm,diepte,120,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Stenen boek,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
